Column1,Column2,Column3
.psd,108050678,103.0MB
.pdf,20040016,19.1MB
.pdf,17637672,16.8MB
.pdf,16335874,15.6MB
.pdf,3647860,3.5MB
.jpg,2696125,2.6MB
.pdf,1792638,1.7MB
.pdf,1625522,1.6MB
.pdf,1621026,1.5MB
.pdf,1546350,1.5MB
.xlsm,932414,910.6KB
.xml,477567,466.4KB
.html,467242,456.3KB
.accdb,352256,344.0KB
.pptx,250726,244.8KB
.png,213244,208.2KB
.xlsx,195191,190.6KB
.jpg,134731,131.6KB
.docx,58950,57.6KB
.docx,15754,15.4KB
.pdf,13661,13.3KB
.xlsx,10990,10.7KB
.xlsx,10286,10.0KB
.txt,4147,4.0KB
.xq,1656,1.6KB
